Course Name,Category,Subcategory,Overall Rating,Number of Ratings,Students Enrolled,Created By,Last Update,Language,Number of Translations,Original Price,Discounted Price,Course Duration,Number of Lessons
Java Object-Oriented Programming: AP Computer Science B,Programming Languages,Java,4.4,88,"2,575",Eric Chou,3.2019,English,English [Auto],ג‚×209.90,ג‚×43.90,51.5 hours,46
Master Scientific Computing in Python with NumPy,Data Science,NumPy,4.6,88,673,TM Quest,3.2023,English,"English [Auto], Simplified Chinese [Auto]",ג‚×349.90,ג‚×43.90,5.5 hours,1
Advanced Material-UI Component Styling: The Complete Course,Web Development,MUI (Material-UI),4.3,88,721,Jonathan Middaugh,3.2023,English,English [Auto],ג‚×139.90,ג‚×43.90,6.5 hours,None
Beginner's Guide to HTML and HTML5,Programming Languages,HTML,4.2,88,"1,741",Stephen Fullington,4.2017,English,English [Auto],ג‚×89.90,ג‚×43.90,1 hour,2
Industrial Communication by Siemens S7 1200PLC-Real Hardware,Software Engineering,Siemens TIA Portal,4.6,88,458,Orhan Tarִ±kcִ±,4.202,English,English [Auto],ג‚×69.90,None,8.5 hours,None
Siemens S71200 Motion Control Training,Software Engineering,Automation,3.6,88,342,Serkan Bֳ¼yֳ¼ktopֳ§u,4.202,English,English [Auto],ג‚×139.90,ג‚×43.90,2.5 hours,None
"Vue & Typescript | Vue Js, Type script, JavaScript Projects",Web Development,Vue JS,4,88,377,Oak Academy,4.2023,English,English [Auto],ג‚×349.90,ג‚×43.90,19 hours,7
PHP with MySQL 2023: Build a Complete Job Portal,Web Development,PHP,4,88,"15,089",Web Coding,4.2023,English,English [Auto],ג‚×69.90,ג‚×43.90,12.5 hours,None
Practical Data Literacy for Leaders,Data Science,Data Analysis,4.5,88,892,George Smarts,4.2023,English,English [Auto],ג‚×349.90,ג‚×43.90,5 hours,1
Angular 12 - Complete Essential Guide,Web Development,Angular,4.1,88,431,Awais Jamil,6.2019,English,English [Auto],ג‚×69.90,ג‚×43.90,12 hours,1
Introduction to Django for beginners,Web Development,Django,4.1,88,"16,140",Bluelime Learning Solutions,6.2021,English,English [Auto],ג‚×349.90,ג‚×43.90,7 hours,2
Project Implementation on Salesforce Einstein Analytics,Software Development Tools,Salesforce CRM Analytics (Einstein Analytics),3.4,88,846,Debasis Jena,6.2022,English,English [Auto],ג‚×209.90,ג‚×43.90,3.5 hours,5
Unity: Building 2D Games From Scratch,Game Development,Unity,4.1,88,"5,330",Magic Coding,7.2018,English,,ג‚×349.90,ג‚×43.90,14.5 hours,None
Create Hyper-Casual Games: The Hyper Casual Games Blueprint,Game Development,Game Design,3.9,88,560,Kevin Wolstenholme ( aka RisingHigh Academy ),8.202,English,English [Auto],ג‚×279.90,ג‚×43.90,12.5 hours,None
Azure Solution Architect Certification- AZ 300 and AZ 303,Web Development,Microsoft AZ-303 (Retired Exam),2.8,88,"2,180",Pranjal Srivastava,8.2022,English,English [Auto],ג‚×69.90,ג‚×43.90,9.5 hours,1
Selenium Webdriver with Java,Web Development,Selenium WebDriver,4.5,88,394,Bhanu Pratap,11.2019,English,,ג‚×179.90,ג‚×43.90,36 hours,None
Design Patterns Simplified,Software Engineering,Software Architecture,4.1,88,759,Seema Pradhan,11.202,English,English,ג‚×69.90,ג‚×43.90,6 hours,None
Fortran Programming Complete Course 2023,Programming Languages,Fortran,2.8,88,475,Laureano Boira Gual,11.2022,English,English [Auto],ג‚×349.90,ג‚×43.90,7.5 hours,None
Beast Android Development:Integrating A Node.Js Server,Mobile Development,Android Development,4.4,88,645,Carlos Valentin,12.2016,English,English [Auto],ג‚×209.90,ג‚×43.90,12.5 hours,None
MSK TypeScript Bootcamp,Web Development,Typescript,4.3,88,"1,986",Manoj Satish Kumar,12.2022,English,English [Auto],ג‚×69.90,ג‚×43.90,3 hours,10
Learn CSS and Create Websites using Bootstrap,Web Development,Bootstrap,5,88,"7,215",AM Learning,12.2022,English,,ג‚×69.90,ג‚×43.90,2 hours,None
Create Jekyll blog and host it on Github like a Ninja,Web Development,GitHub,3.5,87,"5,091",Ajinkya Borade,1.2015,English,English [Auto],ג‚×69.90,ג‚×43.90,2 hours,None
Basic Java Programming with Eclipse,Web Development,Java,4.5,87,"1,549",Programming Tut,1.2018,English,English [Auto],ג‚×179.90,ג‚×43.90,1.5 hours,None
"Developing HTML5 multiplayer browser game, also known as .io",Game Development,Game Development Fundamentals,3.4,87,"26,621",Matִ›j Husֳ¡k,1.202,English,English [Auto],ג‚×179.90,ג‚×43.90,1 hour,4
"Dynamic Programming Java, Coding Interviews and Applications",Software Engineering,Coding Interview,4.7,87,609,James Cutajar,1.2022,English,English [Auto],ג‚×105.90,ג‚×43.90,5 hours,2
"Ajax, jQuery and JSON for Beginning Web Developers",Web Development,AJAX,3.9,87,857,Stone River eLearning,2.2017,English,English [Auto],ג‚×179.90,ג‚×43.90,3 hours,1
Wordpress Elementor Course: Develop Site Without Coding,No-Code Development,Elementor,4.6,87,"16,460",Stephen Koel Soren,2.2023,English,English [Auto],ג‚×123.90,ג‚×43.90,3.5 hours,1
Machine learning with Scikit-learn,Data Science,Machine Learning,4,87,599,Francisco Juretig,3.2017,English,English [Auto],ג‚×179.90,ג‚×43.90,6.5 hours,None
Intro to SwiftUI,Mobile Development,SwiftUI,4.5,87,407,Devslopes by Mark Wahlbeck,3.202,English,English [Auto],ג‚×349.90,ג‚×43.90,3.5 hours,4
Learn JAVASCRIPT with 7 Real World Projects - 2023,Web Development,JavaScript,4.5,87,"4,461",Andre Iacono | 190000+ Students,3.2023,English,English [Auto],ג‚×349.90,ג‚×43.90,2 hours,1
How To Build A Website From Scratch + Blogging Blueprint,Web Development,Blogging,3.5,87,"18,171",Joe Dirven,4.2015,English,English [Auto],ג‚×69.90,ג‚×43.90,3.5 hours,None
Introduction to Object Oriented Programming,Programming Languages,Programming Fundamentals,4.2,87,"2,889",Bhalchandra Gholkar,4.2018,English,English [Auto],ג‚×69.90,ג‚×43.90,1 hour,None
"Chatbot Building: Rasa, DialogFlow & WIT.AI Bots with Python",Data Science,Chatbot,3.5,87,495,GoTrained Academy,5.2019,English,English,ג‚×229.90,ג‚×43.90,4.5 hours,4
Construct 3 Game Development: Build 2D Games Without Coding,Game Development,Construct Game Engine,4.2,87,550,John Bura,5.2019,English,English [Auto],ג‚×349.90,ג‚×43.90,17.5 hours,7
Deep Learning with TensorFlow (beginner to expert level),Data Science,TensorFlow,3.1,87,"23,871",Uplatz Training,5.2021,English,English [Auto],ג‚×349.90,ג‚×43.90,29.5 hours,None
"MERN Stack : React ,Redux ,Node ,Mongo - Pizza Delivery App",Web Development,MERN Stack,3.5,87,434,K.Sathyaprakash Reddy,5.2021,English,English [Auto],ג‚×69.90,ג‚×43.90,10.5 hours,None
Create a complete 2D Platformer game with Godot engine,Game Development,Godot,4.8,87,718,Jean Vermeersch,5.2022,English,English [Auto],ג‚×89.90,ג‚×43.90,10.5 hours,None
Progressive Web Apps (PWA) - From Beginner to Expert,Web Development,Progressive Web App,3.6,87,"1,102",Chris Love,6.2018,English,,ג‚×349.90,ג‚×43.90,19.5 hours,24
R Programming for Beginners,Programming Languages,R (programming language),3.9,87,"17,308",Uplatz Training,6.2021,English,English [Auto],ג‚×349.90,ג‚×43.90,8.5 hours,None
Flutter REST Movie App: Master Flutter REST API Development,Mobile Development,Google Flutter,3.8,87,"9,636",Hussain Mustafa,6.2021,English,English [Auto],ג‚×349.90,ג‚×43.90,3.5 hours,2
Android Game Development : Build Math based Game + Quiz App,Game Development,Android Game Development,4.8,87,"21,176",Sandip Bhattacharya,6.2022,English,English [Auto],ג‚×259.90,ג‚×43.90,2 hours,3
Vehicles in Unreal Engine 4,Game Development,Unreal Engine Blueprints,4.4,87,837,Daniel Orchard,6.2022,English,English [Auto],ג‚×349.90,ג‚×43.90,4.5 hours,None
Unity: MySQL Database Management,Database Design & Development,Unity,4.1,87,"1,004",Armin Sarajlic,7.2018,English,English [Auto],ג‚×349.90,ג‚×43.90,1.5 hours,None
React and Laravel: Breaking a Monolith to Microservices,Web Development,Microservices,4,87,615,Antonio Papa,8.2021,English,English [Auto],ג‚×349.90,ג‚×43.90,15 hours,None
GraphQL & Flutter - Build GraphQL APIs & Flutter Client Apps,Programming Languages,GraphQL,4.9,87,756,"Paulo Dichone | Software Engineer, AWS Cloud Practitioner & Instructor",9.2021,English,English [Auto],ג‚×349.90,ג‚×43.90,10 hours,5
Angular 8 + Spring Boot Microservices and Spring Cloud,Programming Languages,Spring Cloud,4.1,87,432,Senol Atac,11.2021,English,English [Auto],ג‚×69.90,ג‚×43.90,5.5 hours,6
Learn Swift Programming Step by Step,Programming Languages,Swift,3.8,87,"10,376",Eduonix Learning Solutions,12.2018,English,English [Auto],ג‚×105.90,ג‚×43.90,7.5 hours,1
Learning Bootstrap - From HTML to Wordpress Theme,Web Development,Bootstrap,4.8,86,"1,143",Tim Buchalka's Learn Programming Academy,1.2021,English,English [Auto],ג‚×279.90,ג‚×43.90,18 hours,1
Python Technical Interview Questions: The Ultimate Course,Software Engineering,Coding Interview,4,86,"25,524",Martin Yanev,1.2022,English,English [Auto],ג‚×349.90,ג‚×43.90,13.5 hours,None
AJAX with jQuery Basics Beginner Introduction Course,Programming Languages,AJAX,4,86,"6,320",Laurence Svekis,1.2022,English,English [Auto],ג‚×259.90,ג‚×43.90,1.5 hours,4
4 Practice Tests for any Python Certification,Programming Languages,Python,4.4,86,"16,162",Nishant Tiwari,1.2023,English,,ג‚×69.90,ג‚×43.90,4 practice tests,None
Dart and Flutter From Zero to Hero - Practical Dev Bootcamp,Mobile Development,Google Flutter,4.2,86,730,Filip Jerga,2.2022,English,English [Auto],ג‚×349.90,ג‚×43.90,28 hours,None
JavaScript AJAX XHR for beginners,Programming Languages,AJAX,4.3,86,"3,739",Laurence Svekis,2.2023,English,English [Auto],ג‚×349.90,ג‚×43.90,2 hours,11
SQL - A 3-step Process to Master MySQL With Examples,Database Design & Development,MySQL,4.6,86,"5,027","Dr. Chris Mall ג€¢ 30,000+ Students Worldwide",2.2023,English,English [Auto],ג‚×349.90,ג‚×43.90,4.5 hours,2
Angular JS with Sample Project (from Basic to Advanced),Web Development,AngularJS,4.4,86,"5,874",Sandeep Soni,3.2018,English,English [Auto],ג‚×69.90,ג‚×43.90,8.5 hours,None
Connect Systems with SAP Web Services using SAP SOA MANAGER,Programming Languages,SAP,4.1,86,299,Vishal Saxena,3.202,English,English [Auto],ג‚×349.90,ג‚×43.90,1.5 hours,None
WordPress WooCommerce Crash Course 2023,No-Code Development,WooCommerce,4.8,86,167,Acad24 .,3.2023,English,English [Auto],ג‚×105.90,ג‚×43.90,3.5 hours,None
How to Create a Wordpress Website from Scratch - No Coding,No-Code Development,WordPress,4.1,86,"13,250",Hoku Ho,4.2016,English,English [Auto],ג‚×69.90,ג‚×43.90,3 hours,None
The Complete Microservices With Java,Web Development,Microservices,2.9,86,"1,437",Mo omar,4.2018,English,English [Auto],ג‚×349.90,ג‚×43.90,7 hours,None
Demystifying Bitwise Operations In C,Programming Languages,C (programming language),4.7,86,572,Bhalchandra Gholkar,4.202,English,English [Auto],ג‚×89.90,ג‚×43.90,2.5 hours,1
Complete Microsoft Power Virtual Agent (PVA) Bootcamp,No-Code Development,Chatbot,3.7,86,657,Marji Solutions,4.2021,English,English [Auto],ג‚×349.90,ג‚×43.90,8 hours,None
