Course Name,Category,Subcategory,Overall Rating,Number of Ratings,Students Enrolled,Created By,Last Update,Language,Number of Translations,Original Price,Discounted Price,Course Duration,Number of Lessons
Text Mining and Natural Language Processing in R,Data Science,Text Mining,4.5,771,"5,753",Minerva Singh,11.2022,English,"English [Auto], Spanish [Auto]",ג‚×349.90,ג‚×43.90,9 hours,1
Ultimate AngularJS: Build a Real-World App from Scratch,Web Development,AngularJS,4.2,770,"3,555",Ryan Chenkie,2.2016,English,English [Auto],ג‚×349.90,ג‚×43.90,5.5 hours,None
Fundamental Data Structures & Algorithms using C language.,Programming Languages,Data Structures,4.1,770,"6,633",Shibaji Paul,4.202,English,English [Auto],ג‚×349.90,ג‚×43.90,15.5 hours,2
Adobe Experience Manager 6.3 | The Complete AEM Masterclass,Web Development,Adobe Experience Manager,4.4,770,"3,304",Jasvinder Singh Bhatia,4.202,English,,ג‚×69.90,ג‚×43.90,6 hours,None
"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL",Web Development,E-Commerce,4.6,769,"4,072",Le Deng,1.2017,English,,ג‚×349.90,ג‚×43.90,20 hours,1
Python for Deep Learning: Build Neural Networks in Python,Data Science,Deep Learning,4.5,769,"98,277",Meta Brains,1.2022,English,English [Auto],ג‚×179.90,ג‚×43.90,2 hours,1
Create a REST API using basic PHP with Token Authentication,Web Development,RESTful Web Services,4.5,769,"4,022",Michael Spinks,7.202,English,English [Auto],ג‚×89.90,ג‚×45.90,17 hours,1
Learn to Program with Java for Complete Beginners - Part 1,Programming Languages,Java,4.3,768,"3,172",Learn by the Byte,2.2021,English,English,ג‚×329.90,ג‚×43.90,7.5 hours,3
The Complete Regular Expressions Course with Exercises 2023,Programming Languages,Regular Expressions,4.7,768,"9,814",Jazeb Akram,5.202,English,English [Auto],ג‚×349.90,ג‚×43.90,5.5 hours,13
Teradata Fundamentals - Comprehensive SQL course on Teradata,Database Design & Development,Teradata,4.4,768,"3,288",Saad Qureshi,10.2022,English,English [Auto],ג‚×349.90,ג‚×43.90,8.5 hours,None
From 0 to 1 : Spark for Data Science with Python,Data Science,Python,3.9,767,"8,154",Loony Corn,2.2018,English,English [Auto],ג‚×349.90,ג‚×43.90,8.5 hours,1
The Windows Presentation Foundation WPF Guide for beginners,Programming Languages,Windows Presentation Foundation,4.5,767,"4,717",Denis Panjuta,2.2023,English,English [Auto],ג‚×399.90,ג‚×45.90,16 hours,2
Java 11 For Complete Beginners,Programming Languages,Java SE,4.6,767,"5,045",John Purcell,4.202,English,English [Auto],ג‚×69.90,ג‚×43.90,48.5 hours,None
QC051: Math Prerequisites for QC - Content moved to QC101,Software Engineering,Math,4.6,767,"3,746",Kumaresan Ramanathan,8.2022,English,English,ג‚×105.90,ג‚×45.90,4 hours,2
Redis: The Complete Developer's Guide,Database Design & Development,Redis,4.6,766,"11,257",Stephen Grider,5.2023,English,"English [Auto], Simplified Chinese [Auto], 1 more",ג‚×399.90,ג‚×45.90,15.5 hours,13
How to Make a Retro Style 3D FPS in the Godot Game Engine,Game Development,3D Game Development,4.5,766,"3,632",Narayana Walters,7.2021,English,"English [Auto], Simplified Chinese [Auto]",ג‚×179.90,ג‚×43.90,6 hours,None
C# for Beginners - Coding From Scratch,Programming Languages,C#,4.5,765,"6,227",Pontus Wittenmark,1.2023,English,English [Auto],ג‚×349.90,ג‚×43.90,4.5 hours,None
Python for Beginners: Complete Python Programming,Programming Languages,Python,4,765,"21,456",Phaninder - Python Programming,3.2019,English,English [Auto],ג‚×349.90,ג‚×43.90,3 hours,None
Microsoft Access SQL: SQL for Non-Programmers,Database Design & Development,Microsoft Access,4.6,765,"6,943",Isֳ¡Bel .,3.2023,English,English [Auto],ג‚×349.90,ג‚×43.90,3.5 hours,14
Project Based Python Programming For Kids & Beginners,Programming Languages,Python,4.5,765,"4,035",Minerva Singh,9.2021,English,English [Auto],ג‚×349.90,ג‚×43.90,5 hours,4
Unity Dialogue & Quests: Intermediate C# Game Coding,Game Development,Unity,4.5,764,"13,283",Rick Davidson,4.2023,English,English [Auto],ג‚×329.90,ג‚×45.90,12.5 hours,1
Complete JSON AJAX API Code Course Beginner to Professional,Web Development,AJAX,4.3,762,"10,475",Laurence Svekis,1.2023,English,English [Auto],ג‚×349.90,ג‚×43.90,25 hours,94
Build a full-stack application in minutes with Node-RED,Software Development Tools,Web App Development,4.5,762,"13,123",Leo Academy,6.2019,English,"English, Spanish",ג‚×69.90,ג‚×43.90,1.5 hours,None
Complete FastAPI masterclass from scratch,Web Development,FastAPI,4.8,761,"6,022",Catalin Stefan,5.2023,English,English [Auto],ג‚×399.90,ג‚×45.90,21 hours,14
GitHub Basics,Web Development,GitHub,4,761,"71,030",Josh Werner,11.2022,English,English [Auto],ג‚×349.90,ג‚×43.90,1 hour,None
Learn Symfony 3 framework by practical examples,Web Development,Symfony,4.2,760,"3,503",Wojciech Ciolko,1.2017,English,English [Auto],ג‚×349.90,ג‚×43.90,4 hours,None
Laravel 8 - Advance Course Build School Management System,Web Development,Laravel,4.6,760,"4,162",easy Learning,3.2023,English,English [Auto],ג‚×399.90,ג‚×45.90,80.5 hours,10
MonoGame: Introduction to C# Game Programming,Game Development,C#,4.7,760,"2,765",Kyle Schaub,4.2021,English,English [Auto],ג‚×179.90,ג‚×49.90,6.5 hours,None
Beginner HTML and CSS,Web Development,CSS,3.8,759,"21,080",Caleb Curry,3.2015,English,English [Auto],ג‚×199.90,ג‚×43.90,5.5 hours,None
Python A-Z: Learn Python Programming By Building 10 Projects,Programming Languages,Python,4.5,759,"3,272",Shubham Sarda,5.2023,English,English [Auto],ג‚×399.90,ג‚×45.90,19.5 hours,18
Live Project On ASP.Net Core 2.0 MVC(Formerly ASP.Net MVC 5),Programming Languages,ASP.NET MVC,2.9,759,"5,821",Manzoor Ahmed,8.2018,English,English [Auto],ג‚×159.90,ג‚×43.90,10.5 hours,None
React Testing Library and Jest: The Complete Guide,Software Testing,React JS,4.8,758,"6,676",Stephen Grider,5.2023,English,English [Auto],ג‚×105.90,ג‚×43.90,7.5 hours,9
The Complete Guide to Bubble Visual Programming,No-Code Development,Bubble Visual Programming,4.4,758,"4,551",Henry Habib,7.2022,English,English [Auto],ג‚×399.90,ג‚×45.90,16 hours,None
Digital Signal Processing (DSP) From Ground Upג„¢ in Python,Programming Languages,Signal Processing,4.2,758,"4,673",Israel Gbati,8.2022,English,English,ג‚×399.90,ג‚×49.90,13 hours,None
Deploy Infra in the Cloud using Terraform,Software Engineering,Terraform,4.8,757,"50,007",Houssem Dellai,4.2023,English,English [Auto],ג‚×105.90,ג‚×45.90,7 hours,6
Data Analysis in Python with Pandas,Software Engineering,Pandas,3.6,757,"5,786",Bill Chambers,8.2015,English,English,ג‚×69.90,ג‚×43.90,5 hours,2
The complete VUE JS course ( 2022 edition ),Web Development,Vue JS,4.4,756,"6,120",Coding Revolution,10.2021,English,"English [Auto], Italian [Auto]",ג‚×69.90,ג‚×43.90,51.5 hours,16
JMETER - Master Performance & Load Testing(Basics + Advance),Software Testing,JMeter,4.3,755,"4,813",Rahul Arora,4.2023,English,English [Auto],ג‚×69.90,ג‚×43.90,31.5 hours,14
Core Python for Everyone,Programming Languages,Python,3.9,755,"13,788",Madhusudan Mothe,8.2022,English,English [Auto],ג‚×159.90,None,6.5 hours,None
Java Web Development Under The Hood,Web Development,Java,4.5,755,"5,261",Matt Greencroft,10.2019,English,English [Auto],ג‚×299.90,ג‚×43.90,8 hours,1
Build a Complete Registration and Login System using PHP MVC,Web Development,PHP MVC,4.6,754,"3,690",Dave Hollingworth,7.2017,English,English [Auto],ג‚×279.90,ג‚×45.90,5 hours,None
NoSQL: Neo4j and Cypher (Part: 2-Intermediate),Database Design & Development,Neo4j,4.5,753,"4,078",Bruce E. Hilton,1.2022,English,English [Auto],ג‚×123.90,ג‚×43.90,2.5 hours,1
Python Automation Testing With Pytest,Software Engineering,Python,4.4,753,"5,753",Kumar S,5.2023,English,"English [Auto], Simplified Chinese [Auto]",ג‚×123.90,ג‚×45.90,6.5 hours,10
Programming Numerical Methods in Python,Programming Languages,Python,4.3,752,"4,280",Murad Elarbi,1.202,English,English [Auto],ג‚×319.90,ג‚×45.90,12.5 hours,None
OOP Object Oriented Programming In PHP 7,Programming Languages,Object Oriented Programming,4.6,752,"6,413",Saira Sadiq,1.2022,English,English,ג‚×349.90,ג‚×43.90,6 hours,29
Learn Complete WordPress for Building a Professional Sites,Web Development,WordPress,4.2,752,"60,117",Nader Hantash,6.2016,English,English [Auto],ג‚×349.90,ג‚×43.90,9 hours,1
Programming Design Patterns For Unity: Write Better Code,Game Development,C#,4.6,751,"4,903",GameDev.tv Team,7.2022,English,English [Auto],ג‚×329.90,ג‚×45.90,3.5 hours,None
Java Web Services Part 2 - SOAP and REST Security,Web Development,Java Web Services,4.2,750,"9,424",Bharath Thippireddy,5.2023,English,"English, Japanese [Auto], 3 more",ג‚×69.90,ג‚×43.90,4.5 hours,1
"Intro to Big Data, Data Science and Artificial Intelligence",Data Science,Big Data,4.7,750,"1,494",Julia Mariasova,12.2021,English,English [Auto],ג‚×123.90,None,3.5 hours,10
"Elasticsearch Masterclass [Incl., Elasticsearch 7 update]",Data Science,Elasticsearch,4.9,750,"6,028",Vinoth Parthasarathy,12.2021,English,English,ג‚×399.90,ג‚×45.90,6 hours,3
"Automation Testing Masterclass - Selenium, Cucumber and More",Software Testing,Automation Testing,4,749,"40,552",Laurentiu Raducu,5.2023,English,English [Auto],ג‚×259.90,ג‚×45.90,15.5 hours,3
HTML5 Basics,Web Development,HTML5,4.3,748,"61,647",Josh Werner,11.2022,English,English [Auto],ג‚×349.90,ג‚×43.90,5 hours,None
60-Minute Kotlin Quick Start for Java Developers,Programming Languages,Kotlin,4.2,747,"3,902",Shay Tavor,4.2018,English,English [Auto],ג‚×209.90,ג‚×43.90,43 mins,None
The Complete Unity Game Development Course,Game Development,Game Development Fundamentals,4.8,745,"5,346",Codestars ג€¢ over 2 million students worldwide!,5.2022,English,"English, Korean [Auto]",ג‚×105.90,ג‚×45.90,20 hours,3
Ruby Programming for Beginners,Programming Languages,Ruby,4.2,745,"28,842",Huw Collingbourne,9.2022,English,English [Auto],ג‚×259.90,ג‚×43.90,3.5 hours,13
Learn Data Warehousing From Scratch- From Solution Architect,Database Design & Development,Data Warehouse,3.9,745,"4,007",Asif Raza,10.2016,English,English [Auto],ג‚×349.90,ג‚×43.90,2 hours,1
Apache Spark 3 - Real-time Stream Processing using Python,Data Science,Apache Spark,4.7,742,"8,495",Prashant Kumar Pandey,1.2023,English,English,ג‚×69.90,ג‚×43.90,4.5 hours,2
Code Your First Website with HTML & CSS for Kids & Beginners,Web Development,Coding For Kids,4.3,742,"2,009",Kevin Kennedy,6.2019,English,English [Auto],ג‚×679.90,None,2 hours,None
Artificial Intelligence I: Meta-Heuristics and Games in Java,Data Science,Artificial Intelligence,4.7,739,"7,766",Holczer Balazs,3.2022,English,English [Auto],ג‚×349.90,ג‚×43.90,9 hours,4
From 0 to 1: Hive for Processing Big Data,Data Science,Big Data,4.3,738,"6,614",Loony Corn,1.2018,English,English [Auto],ג‚×349.90,ג‚×43.90,15.5 hours,None
Full Stack Web Development Masterclass: Beginner To Advanced,Web Development,None,4.3,738,"21,537",Ashutosh Pawar,4.2019,English,English [Auto],ג‚×399.90,ג‚×45.90,22 hours,None
Ionic 3 Apps for WooCommerce: Build an eCommerce Mobile App,Mobile Development,Ionic,4.7,737,"4,007",Samarth Agarwal,3.2018,English,"English [Auto], Portuguese [Auto], 1 more",ג‚×349.90,ג‚×43.90,7 hours,1
PHP for Beginners 2023: The Complete PHP MySQL PDO Course,Web Development,PHP,4.2,737,"103,208",Web Coding,9.2022,English,English [Auto],ג‚×105.90,ג‚×43.90,9.5 hours,2
Mastering AWS CloudFormation Templates Using JSON,Web Development,AWS CloudFormation,4.5,737,"3,806",Hari Kammana,11.2019,English,English [Auto],ג‚×159.90,ג‚×43.90,2.5 hours,None
Master Spring Boot Microservices with CQRS & Event Sourcing,Software Engineering,Microservices,4.3,736,"5,661",Sean Campbell,11.2021,English,English [Auto],ג‚×209.90,ג‚×45.90,7 hours,1
TensorFlow 2.0 Practical,Data Science,Artificial Intelligence,4.4,735,"6,609","Dr. Ryan Ahmed, Ph.D., MBA",2.2021,English,English [Auto],ג‚×349.90,ג‚×43.90,11.5 hours,2
Pyomo Bootcamp: Python Optimization from Beginner to Advance,Programming Languages,Optimization Problem,4.3,735,"67,162",Optimization Team,2.2023,English,English [Auto],ג‚×349.90,ג‚×43.90,5 hours,8
Clojure: The Complete Beginner's Guide 2023,Programming Languages,Clojure,4.5,735,"3,778",Catalin Stefan,5.2023,English,English [Auto],ג‚×399.90,ג‚×45.90,4 hours,3
"Full stack Universal React with Redux, Node js and MongoDB",Web Development,None,3.7,735,"3,508",Marco Tomasello,7.2018,English,English [Auto],ג‚×679.90,None,5 hours,6
Learn to Build Websites using Twitter Bootstrap,Web Development,Bootstrap,4.4,735,"23,031",Eduonix Learning Solutions,12.2018,English,English [Auto],ג‚×69.90,ג‚×43.90,2.5 hours,1
Reactive JS: Are you ready for the next big paradigm shift?,Web Development,RxJs,3.9,734,"3,855",3D BUZZ Programming and Digital Art training,2.2016,English,English,ג‚×209.90,ג‚×43.90,5.5 hours,None
APIs: Crash Course,Software Engineering,API,4,734,"3,328",Christopher Michael,6.2013,English,English [Auto],ג‚×89.90,None,2 hours,5
Display and analyze GIS data on the web with Leaflet,Web Development,GIS,5,734,"4,351",Michael Miller,11.2019,English,English [Auto],ג‚×349.90,ג‚×45.90,13.5 hours,None
UI UX Design Hybrid from Figma to HTML CSS and JavaScript,Web Development,None,4.5,734,"6,226",Boroji Design Inc.,11.2022,English,English [Auto],ג‚×69.90,ג‚×43.90,31.5 hours,10
Godot 3 Complete Developer Course - 2D and 3D,Game Development,Game Development Fundamentals,4.7,731,"4,267",Guilherme Oliveira,6.2018,English,"English [Auto], Portuguese [Auto]",ג‚×349.90,ג‚×43.90,8.5 hours,1
Python GUI Programming Using PyQt5,Programming Languages,PyQt,4,731,"4,783",Tim Buchalka's Learn Programming Academy,8.2021,English,English [Auto],ג‚×279.90,ג‚×43.90,19 hours,1
Getting started with WebAssembly & Emscripten,Web Development,JavaScript,4.6,731,"3,970",Ray Viljoen,11.202,English,English [Auto],ג‚×399.90,ג‚×49.90,2.5 hours,None
PySpark Essentials for Data Scientists (Big Data + Python),Data Science,PySpark,4.5,730,"5,146",Layla AI,5.2022,English,English [Auto],ג‚×329.90,ג‚×45.90,17.5 hours,28
SwiftUI - The Complete iOS 16 Developers Resource / Bible,Mobile Development,SwiftUI,4.5,729,"5,566",Stephen DeStefano,1.2023,English,English [Auto],ג‚×399.90,ג‚×45.90,23.5 hours,3
Machine Learning From Basic to Advanced,Data Science,Machine Learning,4.3,729,"127,895",Code Warriors,8.2021,English,English [Auto],ג‚×105.90,ג‚×43.90,3 hours,None
Introduction to Quantum Computing,Software Engineering,Quantum Computing,4,729,"123,815",Yassin Marco,12.2022,English,English [Auto],ג‚×105.90,ג‚×43.90,2.5 hours,2
Redux in Angular (2 and 4+),Web Development,Redux Framework,4.3,728,"4,678",Mosh Hamedani,4.2018,English,English [Auto],ג‚×249.90,ג‚×43.90,1.5 hours,2
Data Structures and Algorithms in C++ For Coding Interview,Software Engineering,Coding Interview,4.6,728,"6,416",El Farouk Yasser,4.2018,English,English [Auto],ג‚×349.90,ג‚×43.90,7 hours,6
Data Management Masterclass - The Complete Course,Database Design & Development,Database Administration,4.5,728,"5,196",George Smarts,4.2023,English,English [Auto],ג‚×349.90,ג‚×43.90,10 hours,1
JavaScript Projects for JavaScript Beginners,Web Development,JavaScript,4.6,727,"7,291",Rob Merrill,8.2018,English,English [Auto],ג‚×349.90,ג‚×43.90,7.5 hours,4
Complete Guide for Salesforce integration With Live Scenario,Programming Languages,Salesforce Integration,4.3,727,"6,358",Debasis Jena,10.2022,English,English [Auto],ג‚×209.90,ג‚×43.90,21.5 hours,26
Mastering Grails. A Comprehensive Grails Course.,Programming Languages,Grails,4.4,726,"2,995",Infinite Skills,1.2017,English,English [Auto],ג‚×179.90,ג‚×43.90,5.5 hours,1
React From The Ground Up,Web Development,React JS,4,726,"4,261",Tim Knight,7.2017,English,English [Auto],ג‚×349.90,ג‚×43.90,12.5 hours,3
Introduction to Web Accessibility WCAG 2.1,Web Development,Web Accessibility,4.5,726,"4,223",Ross Mullen,12.202,English,English,ג‚×349.90,ג‚×43.90,3 hours,15
The Full Stack Web Development Bootcamp 2023 - MERN STACK,Web Development,Full Stack Web Development,4.5,725,"9,974",i novotek Coding School,5.2023,English,English [CC],ג‚×69.90,ג‚×43.90,70 hours,14
Complete Angular from Zero to Hero | Complete Guide,Web Development,Angular,3.9,725,"8,022",M Darwish,8.2021,English,English [Auto],ג‚×69.90,ג‚×43.90,32 hours,None
The Complete Guide to HTML,Web Development,HTML,4.7,723,"3,084",Colt Steele,4.2023,English,English [Auto],ג‚×179.90,ג‚×43.90,4.5 hours,9
Full Android Development Masterclass | 14 Real Apps-46 Hours,Mobile Development,Android Development,4.5,723,"3,937",Oak Academy,5.2023,English,English [Auto],ג‚×399.90,ג‚×45.90,46 hours,6
A Java Spring Boot Microservices project for beginners,Programming Languages,Microservices,4.7,723,"11,133",FutureX Skills,9.2022,English,,ג‚×69.90,ג‚×43.90,4 hours,None
Software Testing Interview Masterclass: Ace the QA interview,Software Testing,None,4.6,722,"4,336",Waqas Mazhar,1.2023,English,"English [Auto], Simplified Chinese [Auto]",ג‚×349.90,ג‚×45.90,1.5 hours,1
Create a Complete 2D Platformer in the Godot Engine,Game Development,Godot,4.7,722,"14,350",Firebelley Games,7.2022,English,English [Auto],ג‚×123.90,ג‚×45.90,11 hours,None
React js. From the beginning. w/ Redux and React Router,Web Development,React JS,4.4,721,"3,592",Robert Bunch,1.2022,English,English [Auto],ג‚×209.90,ג‚×45.90,26 hours,14
Gherkin Language - The Master Guide,Software Testing,BDD Behavior Driven Development,4.6,721,"2,954",Tim MacLachlan,1.2023,English,English,ג‚×123.90,ג‚×43.90,3 hours,6
Salesforce Apex: The Complete Introduction for Beginners,Web Development,Salesforce Apex,4.7,721,"3,081",Todd Boyd,7.2021,English,English [Auto],ג‚×179.90,ג‚×45.90,4.5 hours,3
Python from the beginning in Sinhala - Python א¶¸א·”א¶½ א·ƒא·’א¶§ א·ƒא¶»א¶½א·€,Programming Languages,Python,4.6,720,"7,228",Praneeth Peiris,6.202,English,,ג‚×69.90,ג‚×43.90,10 hours,None
The Complete iOS Game Course Using SpriteKit And Swift 3,Game Development,SpriteKit,3.9,720,"9,540",Awesome Tuts,11.2018,English,English [Auto],ג‚×349.90,ג‚×43.90,18 hours,2
Data Science Bootcamp 2022: 5 Data Science Projects,Data Science,None,4.2,718,"39,144",Data Is Good Academy,4.2022,English,English [Auto],ג‚×69.90,ג‚×43.90,15.5 hours,2
"Metaverse Fundamentals: Blockchain, Cryptocurrency and NFTs",Game Development,Metaverse,4.6,718,"2,887",George Levy,5.2023,English,"English [Auto], Japanese [Auto]",ג‚×399.90,ג‚×45.90,2.5 hours,None
Python Foundations for Data Analysis & Business Intelligence,Programming Languages,Python,4.6,717,"5,489",Maven Analytics,3.2023,English,"English [Auto], Simplified Chinese [Auto]",ג‚×399.90,ג‚×45.90,11.5 hours,3
Professional Ruby on Rails Developer with Rails 5,Web Development,Ruby on Rails,4.6,717,"6,523",Rob Percival,6.2018,English,English [Auto],ג‚×349.90,ג‚×43.90,19.5 hours,77
Angular 2 Crash Course with TypeScript,Web Development,Typescript,4.8,717,"20,347",Stone River eLearning,9.2019,English,English [Auto],ג‚×349.90,ג‚×43.90,4 hours,1
Master React Native Animations,Mobile Development,React Native,3.4,716,"5,864",Jason Brown,2.2019,English,English [Auto],ג‚×349.90,ג‚×43.90,6.5 hours,63
CodeIgniter 4: Build a Complete Web Application from Scratch,Web Development,CodeIgniter,4.6,716,"3,364",Dave Hollingworth,2.2022,English,English [Auto],ג‚×399.90,ג‚×45.90,10 hours,4
Airtable - The Complete Guide to Airtable - Master Airtable,No-Code Development,Airtable,4.6,716,"3,288",Henry Habib,7.2022,English,English [Auto],ג‚×399.90,ג‚×45.90,7.5 hours,1
R Tidyverse Reporting and Analytics for Excel Users,Programming Languages,R (programming language),4.3,716,"6,482",Jonathan Ng,8.2021,English,English [Auto],,,5 hours,3
JSON in Action: Build JSON-Based Applications,Web Development,JSON,4.3,715,"4,597",Crypters Infotech,1.2022,English,English,ג‚×349.90,ג‚×43.90,4.5 hours,10
C++ Programming from A-Z. Learn To Code Using C++,Programming Languages,C++,4,715,"25,834",Joey Anthony - C++ Programming,12.2018,English,English [Auto],ג‚×349.90,ג‚×43.90,4 hours,None
Testing React apps with React Testing Library (RTL),Software Testing,TDD Test Driven Development,4.2,714,"3,558",David Armendֳ¡riz,2.2021,English,English [Auto],ג‚×69.90,ג‚×43.90,2.5 hours,4
JavaScript Beginners Guide to Building Interactive Web Pages,Web Development,JavaScript,4.4,714,"43,563",Fatah Gabrial,7.202,English,English [Auto],ג‚×349.90,ג‚×43.90,2 hours,None
"Java Servlet, JSP and Hibernate: Build eCommerce Website",Programming Languages,Servlet,4.3,714,"5,681",Nam Ha Minh,8.2022,English,English,ג‚×69.90,ג‚×43.90,64 hours,None
C++ Programming for Beginners (2023),Programming Languages,C++,4.5,713,"4,945",Prateek Narang,3.2023,English,"English [Auto], Japanese [Auto]",ג‚×349.90,ג‚×43.90,19.5 hours,4
Advanced JavaScript Topics,Programming Languages,JavaScript,4.8,713,"6,052",Steven Hancock,10.2022,English,English [Auto],ג‚×349.90,ג‚×45.90,18 hours,12
Gutenberg Blocks for WordPress and React Developers,Web Development,WordPress Plugins,4.7,712,"4,741",Ali Alaa,1.2022,English,English,ג‚×349.90,ג‚×43.90,16.5 hours,2
Python and Django Full-Stack Web Development for beginners,Web Development,API,4.1,712,"33,621",Bluelime Learning Solutions,2.2023,English,English [Auto],ג‚×349.90,ג‚×43.90,34.5 hours,11
Mastering SharePoint 2019,Software Development Tools,SharePoint,4.1,712,"3,624",Packt Publishing,11.2019,English,English,ג‚×349.90,ג‚×43.90,4 hours,None
The Ultimate Beginners Guide to Game Development with ROBLOX,Game Development,Lua,4.1,710,"14,139",Philip Ritmeester,7.2021,English,English [Auto],ג‚×69.90,ג‚×43.90,15 hours,137
Learn Advanced C# Scripting in Unity 5 for Games,Game Development,C#,4.6,710,"6,589",3dmotive LLC,9.2016,English,English,ג‚×69.90,ג‚×43.90,5.5 hours,2
Mastering Mobile App Design With Sketch 3,Mobile Development,Sketch Software,4.1,710,"6,139",Mark Wahlbeck,9.2018,English,English [Auto],ג‚×279.90,ג‚×43.90,5 hours,5
iOS 13 - How to Make Amazing iPhone Apps: Xcode 11 & Swift 5,Mobile Development,iOS Development,4.6,710,"4,929",Nick Walter,11.2019,English,English [Auto],ג‚×349.90,ג‚×43.90,12 hours,11
Git by Example,Software Engineering,Git,4.4,709,"4,869",Jose Salvatierra,4.2023,English,English [Auto],ג‚×209.90,ג‚×43.90,3 hours,1
Make a Tetris-style Puzzler in Unity,Game Development,Unity,4.6,708,"4,735",Wilmer Lin,10.202,English,English [Auto],ג‚×329.90,ג‚×43.90,10 hours,16
GitLab Ultimate Guide,Software Development Tools,GitLab,2.9,708,"126,317",Josh Werner,11.2022,English,English [Auto],ג‚×349.90,ג‚×43.90,2.5 hours,None
Linear Algebra for Data Science & Machine Learning A-Z 2023,Data Science,Linear Algebra,4.3,707,"4,435",Kashif A.,1.2023,English,,ג‚×399.90,ג‚×45.90,18 hours,13
Hands on With Docker & Docker Compose From a Docker Captain,Web Development,Docker,4.4,707,"2,876",Nick Janetakis,2.2023,English,,ג‚×209.90,ג‚×43.90,4.5 hours,7
The Ultimate Flask Course,Web Development,Flask,4.7,707,"5,553",Anthony Herbert,12.2021,English,English [Auto],ג‚×279.90,ג‚×45.90,28.5 hours,None
"Create a Members Only Blog using PHP, MySQL, & AJAX",Web Development,None,4.6,706,"155,433",YouAccel Training,4.2021,English,English [Auto],ג‚×349.90,ג‚×43.90,2 hours,None
Complete Bubble Developer Course: Build Apps Without Coding,No-Code Development,Bubble Visual Programming,4.5,706,"6,994",Leon Petrou,6.202,English,English [Auto],ג‚×349.90,ג‚×43.90,10 hours,21
Single-Page Application with ASP.NET & jQuery Hands-On,Web Development,Single-Page Applications (SPA),4.8,706,"4,298",Patrick God,8.2017,English,English [Auto],ג‚×179.90,ג‚×43.90,3.5 hours,None
Ruby Programming For Everyone,Programming Languages,Ruby,4.7,706,"5,821",John Elder,11.2021,English,English [Auto],ג‚×349.90,ג‚×43.90,2 hours,2
Deep Learning with PyTorch for Medical Image Analysis,Data Science,Deep Learning,4.5,706,"6,651",Jose Portilla,11.2022,English,English [Auto],ג‚×399.90,ג‚×45.90,12 hours,5
Java Microservices: CQRS & Event Sourcing with Kafka,Software Engineering,Microservices,4.6,705,"5,417",Sean Campbell,7.2022,English,English [Auto],ג‚×329.90,ג‚×45.90,4.5 hours,None
MATLAB for Engineering Students Part 1,Programming Languages,MATLAB,4.6,704,"3,341","Cherish Qualls, PhD",3.2019,English,"English [Auto], Japanese [Auto], 1 more",ג‚×349.90,ג‚×43.90,13.5 hours,None
Unreal Engine 5 Blueprints: First Person Shooter (FPS),Game Development,Unreal Engine Blueprints,4.7,704,"6,831",GameDev.tv Team,3.2023,English,English [Auto],ג‚×399.90,ג‚×45.90,8.5 hours,1
The Complete Guide to Building Premium WordPress Themes,Web Development,WordPress Themes,4.3,703,"5,714",Ali Alaa,2.2021,English,English,ג‚×349.90,ג‚×43.90,17.5 hours,11
Introduction to Programming - 2 Hour Crash Course,Programming Languages,Programming Fundamentals,4.6,703,"2,784",Rick Crisci,6.2022,English,English [Auto],ג‚×123.90,ג‚×43.90,2 hours,None
The HTML & CSS Bootcamp 2023 Edition,Web Development,CSS,4.8,702,"6,527",Colt Steele,4.2023,English,English [Auto],ג‚×349.90,ג‚×43.90,37 hours,1
Devops: Jenkins Pipeline As Code: All you need to know A - Z,Software Engineering,DevOps,4.4,701,"6,941",Accelerated Skillup .,8.2021,English,English [Auto],ג‚×399.90,ג‚×45.90,7.5 hours,1
Complete Course on A/B Testing with Interview Guide,Data Science,A/B Testing,4.1,700,"3,827",Preeti Semwal,3.2021,English,English [Auto],ג‚×329.90,ג‚×45.90,2 hours,5
"Scala Applied, Part 3",Programming Languages,Scala,4.6,700,"4,615",Dick Wall,3.2023,English,English [Auto],ג‚×69.90,ג‚×43.90,5.5 hours,1
Understanding CouchDB 3: Learn Basic & Advanced NoSQL Skills,Database Design & Development,CouchDB,4.5,700,"4,723",Gregory (Mad Pink) Miller,4.202,English,English [Auto],ג‚×349.90,ג‚×43.90,7 hours,None
Power BI: Advanced Data Transformations and Modeling,Data Science,Microsoft Power BI,4.4,699,"11,720",Enterprise DNA,9.2021,English,English [Auto],ג‚×349.90,ג‚×43.90,4 hours,1
Complete JavaScript Projects Course Games 55 Modern JS DOM,Web Development,JavaScript,4.5,698,"8,683",Laurence Svekis,2.2023,English,English [Auto],ג‚×399.90,ג‚×45.90,57.5 hours,73
Reactive Programming in Modern Java using Project Reactor,Programming Languages,Java,4.4,697,"4,816",Pragmatic Code School,11.2022,English,English [Auto],ג‚×349.90,ג‚×45.90,7 hours,2
Bootstrap 3 Introduction : Create RESPONSIVE Websites Fast,Web Development,Bootstrap,4.6,695,"3,783",Edwin Diaz,1.2022,English,English [Auto],ג‚×179.90,ג‚×43.90,2.5 hours,1
2022 Machine Learning A to Z : 5 Machine Learning Projects,Data Science,Machine Learning,4,695,"39,570",Data Is Good Academy,4.2022,English,English [Auto],ג‚×69.90,ג‚×43.90,26 hours,3
